Kalem,2021/12,2021/9,2021/6,2021/3,2020/12,2020/9,2020/6,2020/3,2019/12,2019/9,2019/6,2019/3,2018/12,2018/9,2018/6,2018/3,2017/12,2017/9,2017/6,2017/3,2016/12,2016/9,2016/6
ÝÞLETME FAALÝYETLERÝNDEN NAKÝT AKIÞLARI,26074860,19274289,20902091,11497682,18438975,1421818,6637758,10228559,5537649,-2093381,897439,3455788,16520356,12992840,11487417,4747977,9960129,8685933,5281099,2908126,-1467358,2899549,-647475
Dönem Karý (Zararý),34531791,17399536,13065460,5480059,7763383,4939043,3199577,2785182,-3282791,-5777491,-545561,-444673,6395565,5105231,2763007,2653254,8641288,5966236,2937062,1991697,-701055,-630172,210400
Dönem Net Karý (Zararý) Mutabakatý Ýle Ýlgili Düzeltmeler,34235925,16330680,15778183,6845238,15990752,10285224,6421007,5186767,18374781,14673214,9611399,4447261,18413715,13417400,8243911,1152714,6558425,3380230,5669097,433663,4402055,2804573,1893086
Amortisman ve Ýtfa Gideri Ýle Ýlgili Düzeltmeler,9722380,7099844,4366706,1593614,6530855,4286293,2945542,1426009,5486979,3321131,2527662,1115649,6326163,4663184,3613831,994705,3259879,2554326,1582496,786453,3126820,2351375,1561340
Deðer Düþüklüðü (Ýptali) Ýle Ýlgili Düzeltmeler,3198177,456472,560259,365983,465825,290734,447560,119849,478583,-155427,-269466,318356,942527,1198110,420034,,321025,,73723,,-38954,,-175594
Karþýlýklar Ýle Ýlgili Düzeltmeler,2852191,481520,2834423,1393644,2104889,1149909,718962,2274429,2048392,1529712,1281082,873108,2484577,1378560,1023446,-241866,1834765,869477,1323556,-282499,1439416,594367,532454
Faiz (Gelirleri) ve Giderleri Ýle Ýlgili Düzeltmeler,9568311,7153514,5295641,2295818,5097396,4394641,2365449,1324021,11489851,9926804,6423218,2155009,6358777,4911354,2558868,1603667,-779351,-316342,2342052,-156656,-110507,-234635,-3257
Gerçekleþmemiþ Yabancý Para Çevrim Farklarý Ýle Ýlgili Düzeltmeler,,,,,,,,,-77524,,,,,,,,,,,,,,
Vergi (Geliri) Gideri Ýle Ýlgili Düzeltmeler,9093832,1139330,2721154,1196179,1791787,163647,-56506,42459,-707091,,42545,-14861,1755279,1638006,948406,-1083792,1892398,272769,283429,86365,52601,93466,43964
Duran Varlýklarýn Elden Çýkarýlmasýndan Kaynaklanan Kayýplar (Kazançlar) Ýle Ýlgili Düzeltmeler,-198966,,,,,,,,-511007,,,,-120000,-77571,-77571,-120000,-70820,,-63220,,-67321,,-59526
"Ýþtirak, Ýþ ortaklýðý ve Finansal Yatýrýmlarýn Elden Çýkarýlmasýndan veya Paylarýndaki Deðiþim Sebebi ile Oluþan Kayýplar (Kazançlar) ile Ýlgili Düzeltmeler",,,,,,,,,,,,,,,,,,,,,,,-6295
Ýþletme Sermayesinde Gerçekleþen Deðiþimler,-35755015,-13848874,-6607459,401646,-4073804,-12670491,-1850868,3286852,-5486250,-7277519,-4594550,1032539,-6350624,-3642228,2317782,1026117,-4132967,-73997,-2387463,488461,-4824026,906572,-2642468
Ticari Alacaklardaki Azalýþ (Artýþ) ile Ýlgili Düzeltmeler,-107666985,-45470388,-36003081,-15773684,-19374639,-7476298,7870804,6570035,186320,2052378,2369820,3120528,-16392684,-9339489,-5184511,-1031097,-18348144,-13134200,-8133223,-4389469,-1972654,-209363,-2075910
Faaliyetlerle Ýlgili Diðer Alacaklardaki Azalýþ (Artýþ) ile Ýlgili Düzeltmeler,-3793062,-1204969,1288841,-3165,-2098924,-2449951,866705,358437,284067,1181604,719758,224207,202477,-407400,-220331,-166573,-1510944,-566408,-166947,60850,1584225,1369654,1028505
Stoklardaki Azalýþlar (Artýþlar) Ýle Ýlgili Düzeltmeler,-40659680,-17713071,-8828505,1836150,-11418367,-9044337,-11165036,2141668,2118424,1292585,-3694144,2102916,-5407217,-13810243,-11990241,787121,-7809581,-4427109,-3711882,-2068833,2464711,2542325,1842405
Ticari Borçlardaki Artýþ (Azalýþ) ile Ýlgili Düzeltmeler,117308725,55546691,45079072,15820648,25406635,6969549,2962704,-4808676,-8032411,-11590520,-2674471,-6185502,15128674,25504487,21103415,3766647,25008496,16392642,10984815,5824212,-6369270,-1590245,-1740964
Faaliyetler ile Ýlgili Diðer Borçlardaki Artýþ (Azalýþ) ile Ýlgili Düzeltmeler,-1417536,-1346806,-877117,251330,1555132,53927,-27475,29811,51128,11134,13399,-3012,-87535,-60357,-49393,29666,-284989,-69116,-345571,-177668,-1108158,-1222668,-1225874
Ýþletme Sermayesinde Gerçekleþen Diðer Artýþ (Azalýþ) ile Ýlgili Düzeltmeler,-1673828,-4546521,-7801506,-2327507,1377987,-723381,-2358570,-1149191,-1126082,-224700,-1328912,426752,66895,-5529226,-1341157,-4558474,-1238429,1730194,-1014655,1239369,577120,16869,-470630
Faaliyetlerden Elde Edilen Nakit Akýþlarý,33012701,19881342,22236184,12726943,19680331,2553776,7769716,11258801,9605740,1618204,4471288,5035127,18458656,14880403,13324700,4832085,11066746,9272469,6218696,2913821,-1123026,3080973,-538982
Alýnan Faiz,,,,,,,,,,,,,,,,,,,,,,0,
Vergi Ýadeleri (Ödemeleri),-4954264,,,,,0,,,-1989892,-1989892,-1989892,,-769876,-769876,-769876,,,,,,-24083,,
YATIRIM FAALÝYETLERÝNDEN KAYNAKLANAN NAKÝT AKIÞLARI,-14030265,-8166538,-5468710,-3334174,-13127171,-4615932,-2464164,-1210119,-6702974,-3632723,-2293944,-820414,-5583516,-2070793,-1384511,-717483,-9612180,-3096170,-2611478,-2154978,-1158461,-555761,-169605
Maddi ve Maddi Olmayan Duran Varlýklarýn Satýþýndan Kaynaklanan Nakit Giriþleri,263364,,,,0,,,,2476554,0,,,130766,88337,88337,120000,154395,28105,123127,23504,219507,152186,211876
Maddi ve Maddi Olmayan Duran Varlýklarýn Alýmýndan Kaynaklanan Nakit Çýkýþlarý,-14295906,-8166990,-5469162,-3334626,-13128678,-4617084,-2465138,-1211025,-9191630,-3640731,-2299598,-820414,-5714282,-2244697,-1533803,-880981,-9766575,-3124275,-2734605,-2178482,-1377968,-707947,-400825
FÝNANSMAN FAALÝYETLERÝNDEN NAKÝT AKIÞLARI,-11161725,-12004874,-12939562,-3773194,-3740852,2177040,-4279436,-8333665,1393380,4431782,1614528,-2232719,-10568362,-8934110,-5914125,-3687197,-70904,-5392050,-2110629,-188682,2817329,-1755655,1394064
Borçlanmadan Kaynaklanan Nakit Giriþleri,105384792,54850373,3366667,3013000,80084743,72175073,44714313,17126306,70591628,53711777,33055466,13572890,26581468,21584443,18103603,6446454,23162269,25429840,11481505,9869023,24453061,19812303,15059604
Borç Ödemelerine Ýliþkin Nakit Çýkýþlarý,-104573042,-58083439,-10676856,-4296249,-76685253,-64416923,-45370688,-23476737,-57363017,-39192092,-24953722,-12632811,-25080848,-25450175,-21089206,-9476219,-19387426,-25753837,-10561089,-8582213,-18051019,-19917534,-12434225
Yabancý Para Çevrim Farklarýnýn Etkisinden Önce Nakit ve Nakit Benzerlerindeki Net Artýþ (Azalýþ),882870,-897123,2493819,4390314,1570952,-1017074,-105842,684775,228055,-1294322,218023,402655,368478,1987937,4188781,343297,277045,197713,558992,564466,191510,588133,576984
NAKÝT VE NAKÝT BENZERLERÝNDEKÝ NET ARTIÞ (AZALIÞ),882870,-897123,2493819,4390314,1570952,-1017074,-105842,684775,228055,-1294322,218023,402655,368478,1987937,4188781,343297,277045,197713,558992,564466,191510,588133,576984
DÖNEM BAÞI NAKÝT VE NAKÝT BENZERLERÝ,3432900,3432900,3432900,3432900,1861948,1861948,1861948,1861948,1633893,1633893,1633893,1633893,1265415,1265415,1265415,1265415,988370,988370,988370,988370,796860,796860,796860
DÖNEM SONU NAKÝT VE NAKÝT BENZERLERÝ,4315770,2535777,5926719,7823214,3432900,844874,1756106,2546723,1861948,339571,1851916,2036548,1633893,3253352,5454196,1608712,1265415,1186083,1547362,1552836,988370,1384993,1373844
