Kalem;2021/12;2021/9;2021/6;2021/3;2020/12;2020/9;2020/6;2020/3;2019/12;2019/9;2019/6;2019/3;2018/12;2018/9;2018/6;2018/3;2017/12;2017/9;2017/6;2017/3;2016/12;2016/9;2016/6
Satýþ Gelirleri;187871806;129469801;87931281;38486773;87193556;47300431;33057543;24255217;114828282;88702173;56999966;26628265;92175943;69999869;44279053;21371750;70989982;51119795;34629082;16083376;60867363;44566130;31954902
Yurt Ýçi Satýþlar;53445133;31855380;21636123;9849046;27679471;19470680;11723485;7092131;22388217;17081943;11469761;5986611;23620062;23262807;14463581;6277081;20352541;36284413;9551299;12007176;17359584;31524618;
Yurt Dýþý Satýþlar;134577723;97614421;66295158;28641371;59596400;27829751;21334058;17167768;92497037;71620230;45530205;20692446;69072890;46737062;29815472;14872260;48253465;14835382;25077783;4076200;43511346;13041512;
Satýþlarýn Maliyeti (-);-134949532;-91871303;-61270801;-27650873;-60514251;-33495438;-23878065;-16647384;-82515837;-63429554;-40518655;-19097306;-66001916;-47264084;-30949133;-14740939;-50805473;-37501491;-25045925;-12210737;-45012593;-33015958;-22867916
Ticari Faaliyetlerden Brüt Kar (Zarar);52922274;37598498;26660480;10835900;26679305;13804993;9179478;7607833;32312445;25272619;16481311;7530959;26174027;22735785;13329920;6630811;20184509;13618304;9583157;3872639;15854770;11550172;9086986
BRÜT KAR (ZARAR);52922274;37598498;26660480;10835900;26679305;13804993;9179478;7607833;32312445;25272619;16481311;7530959;26174027;22735785;13329920;6630811;20184509;13618304;9583157;3872639;15854770;11550172;9086986
Genel Yönetim Giderleri (-);-5530978;-3603705;-2284668;-981195;-3243813;-2039658;-1231827;-852525;-2958121;-2518945;-1631489;-545889;-3041815;-2294457;-1619248;-801913;-2568307;-1660861;-1199453;-485711;-2007227;-1672144;-1131604
Pazarlama, Satýþ ve Daðýtým Giderleri (-);-3028715;-2073461;-1487981;-704142;-1303457;-643102;-386303;-342099;-1906587;-1492252;-967812;-439534;-1512176;-1099258;-676857;-345407;-1169560;-837763;-557441;-280631;-973797;-691516;-496105
Diðer Faaliyet Gelirleri;16801136;5985621;4389218;3013596;3872429;3145408;2224159;1440803;5355999;4334532;3204827;2039979;8302709;6862838;2059619;856555;1734253;925936;575947;1434329;2024381;1837331;993419
Diðer Faaliyet Giderleri (-);-4032756;-1086715;-1367745;-980625;-279014;-1052337;-880194;-798596;-894921;-1846624;-922855;-664075;-1511772;-3089703;-522199;-282574;-794333;-19390;-17987;-481133;-403432;-244097;-114554
FAALÝYET KARI (ZARARI);57130961;36820238;25909304;11183534;25725450;13215304;8905313;7055416;31908815;23749330;16163982;7921440;28410973;23115205;12571235;6057472;17386562;12026226;8384223;4059493;14494695;10779746;8338142
Yatýrým Faaliyetlerinden Gelirler;4761052;3450672;2470398;1324026;5142407;3657896;2348796;1118659;5131679;4069420;2728577;1424808;14170141;11209903;3282082;684256;3105215;2241515;1607934;715758;3640776;2071588;1372861
Yatýrým Faaliyetlerinden Giderler (-);0;0;0;0;-109;-109;-109;-109;-629076;-601547;-358233;-2359;-1546981;;;;;;;;0;;
